sid=s2500 | cid=CS180 | grade=71
sid=s2501 | cid=CS177 | grade=54
sid=s2501 | cid=CS180 | grade=54
sid=s2502 | cid=CS177 | grade=30
sid=s2503 | cid=CS177 | grade=78
sid=s2503 | cid=CS180 | grade=78
sid=s2504 | cid=CS180 | grade=23
sid=s2505 | cid=CS177 | grade=28
sid=s2506 | cid=CS177 | grade=33
sid=s2507 | cid=CS177 | grade=3
sid=s2508 | cid=CS177 | grade=9
sid=s2509 | cid=CS177 | grade=25
sid=s2509 | cid=CS180 | grade=25
sid=s2510 | cid=CS177 | grade=46
sid=s2511 | cid=CS177 | grade=0
sid=s2512 | cid=CS177 | grade=4
sid=s2513 | cid=CS180 | grade=36
sid=s2514 | cid=CS180 | grade=66
sid=s2515 | cid=CS180 | grade=89
sid=s2516 | cid=CS177 | grade=21
sid=s2517 | cid=CS180 | grade=54
sid=s2518 | cid=CS177 | grade=17
sid=s2519 | cid=CS180 | grade=53
sid=s2520 | cid=CS177 | grade=71
sid=s2521 | cid=CS177 | grade=97
sid=s2521 | cid=CS180 | grade=97
sid=s2522 | cid=CS180 | grade=6
sid=s2523 | cid=CS177 | grade=11
sid=s2524 | cid=CS177 | grade=9
sid=s2525 | cid=CS180 | grade=14
sid=s2526 | cid=CS177 | grade=64
sid=s2526 | cid=CS180 | grade=64
sid=s2527 | cid=CS177 | grade=42
sid=s2528 | cid=CS177 | grade=3
sid=s2529 | cid=CS177 | grade=92
sid=s2530 | cid=CS177 | grade=100
sid=s2530 | cid=CS180 | grade=100
sid=s2531 | cid=CS177 | grade=41
sid=s2532 | cid=CS177 | grade=51
sid=s2533 | cid=CS180 | grade=76
sid=s2534 | cid=CS177 | grade=2
sid=s2535 | cid=CS177 | grade=31
sid=s2536 | cid=CS177 | grade=92
sid=s2537 | cid=CS180 | grade=95
sid=s2538 | cid=CS177 | grade=51
sid=s2539 | cid=CS180 | grade=17
sid=s2540 | cid=CS177 | grade=60
sid=s2541 | cid=CS177 | grade=85
sid=s2541 | cid=CS180 | grade=85
sid=s2542 | cid=CS180 | grade=37
sid=s2543 | cid=CS177 | grade=93
sid=s2544 | cid=CS180 | grade=54
sid=s2545 | cid=CS177 | grade=43
sid=s2546 | cid=CS180 | grade=51
